prec_scale,int8_fp16_b1,int8_fp16_b16,int8_fp16_b32,fp16_fp32_b1,fp16_fp32_b16,fp16_fp32_b32
22WW51.1,1.1854799763075323,1.0905264478319372,1.222388410428973,2.01508967929558,2.127113845747696,2.5011360905788362
23WW01.4,1.1732666866316763,1.1244539182823312,1.2226779595532986,2.030442630445766,2.0747928340647683,2.4706064473243385
23WW03.4,1.1801348516502934,1.1194458741158664,1.2536928071204372,2.0393798425960106,2.0811016306727796,2.4145979953907277
23WW06.1,1.1633995618905162,1.2243068754041322,1.284110157268375,2.0882247135530116,2.208159090088597,2.500020579473229
23WW07.2,1.16482277584082,1.2798671024251855,1.3120318750754998,2.117412626747347,2.216467666702884,2.458214738125831
23WW10.4,1.1648108564090136,1.2373859289107159,1.2729586726686068,2.05902884131245,2.3440404234930265,2.4918022006842424
23WW11.5,1.165900101673924,1.2385724245212824,1.2697610589511867,2.0482743111672854,2.3262613967726358,2.506980189192728
23WW13.4,1.1755862808156663,1.2372677473923341,1.272864136382561,2.0294332917114484,2.293412363208367,2.5188951470989456
23WW16.3,1.1601670116899887,1.1764336405028055,1.2599622606009495,2.037196390130448,2.513677769183537,2.587984159991225
